celsr1b	ZDB-GENE-050823-4
si:ch211-215e19.8	
BX323006.1	
si:dkey-283b1.7	ZDB-GENE-120215-126
pcdh1g14	ZDB-GENE-050609-9
si:dkeyp-82a1.1	ZDB-GENE-081105-23
zbtb32	
adra1aa	ZDB-GENE-030131-2831
CR376800.1	
si:ch73-249k16.4	
cbx6a	ZDB-GENE-040808-26
CR847899.2	
kcnk5a	ZDB-GENE-051113-112
commd5	ZDB-GENE-040801-71
rfx7a	ZDB-GENE-100309-3
coro2bb	ZDB-GENE-071009-5
trgv7	ZDB-GENE-051115-9
CABZ01074478.1	
pnoca	ZDB-GENE-101229-1
mpp2a	ZDB-GENE-071004-82
si:ch1073-67j19.2	
CR396590.5	
CR376850.2	
avpr1ab	ZDB-GENE-041210-105
tmem232	ZDB-GENE-070705-434
si:ch211-79k12.2	ZDB-GENE-131121-535
nkx2.2a	ZDB-GENE-980526-403
BX323854.2	
CU570781.1	
CT997819.4	
txnl4a	ZDB-GENE-041010-25
mlycd	ZDB-GENE-070410-120
tmem204	ZDB-GENE-040724-12
zgc:77287	
si:ch211-198e20.10	ZDB-GENE-131122-20
si:ch73-222h13.1	
BX323987.1	
lrfn5a	ZDB-GENE-080327-17
guca1a	
rapgef1b	ZDB-GENE-040426-1001
AL928866.2	
BX681416.1	
dnajc2	ZDB-GENE-040426-1912
cav3	ZDB-GENE-050522-426
BX901974.2	
bmpr2b	ZDB-GENE-070618-2
ppp2r3c	ZDB-GENE-040426-715
BX323875.1	
fgd5a	ZDB-GENE-090428-3
slc8a3	ZDB-GENE-050810-1
BX649423.2	
BX005456.1	
si:ch73-173p19.2	ZDB-GENE-141212-282
CR925711.3	
si:ch211-191c10.3	
CU672227.1	
tbccd1	ZDB-GENE-041210-222
CABZ01070631.2	
ide	ZDB-GENE-070410-85
arntl2	
si:ch211-248l17.3	
zgc:109965	ZDB-GENE-050913-21
CR847545.1	
aicda	ZDB-GENE-041122-2
isl2b	ZDB-GENE-990415-133
CABZ01061508.1	
usp54a	ZDB-GENE-090828-2
dnajc24	ZDB-GENE-040426-1153
CU467042.1	
crygm2d7	ZDB-GENE-060918-5
atpaf1	ZDB-GENE-030219-10
ighv5-8	ZDB-GENE-040514-22
CABZ01087025.3	
BX664721.2	
vsir	ZDB-GENE-060929-716
si:ch211-213c4.5	
ruvbl2	ZDB-GENE-030109-1
psmb8a	ZDB-GENE-990415-141
znf1036	
evx1	ZDB-GENE-980526-364
zgc:173770	ZDB-GENE-070822-29
ccn4b	ZDB-GENE-080220-16
CT573817.1	
rplp2	ZDB-GENE-031018-2
BX901919.1	
CABZ01117607.1	
krt15	ZDB-GENE-040426-2931
eef2kmt	ZDB-GENE-041010-160
crsp7	ZDB-GENE-040426-2005
s1pr3a	ZDB-GENE-050208-347
sik2b	ZDB-GENE-071012-1
nlrc5	ZDB-GENE-080429-2
H2BE1	
CU896691.1	
syncrip	ZDB-GENE-030131-4862
mastl	ZDB-GENE-040801-128
spp1	ZDB-GENE-050706-97
zgc:55943	ZDB-GENE-040426-2013
ppih	ZDB-GENE-040625-127
rab11fip3	ZDB-GENE-040724-138
CT583728.8	
phyhd1	ZDB-GENE-041114-159
kdm8	ZDB-GENE-040718-411
kdm6ba	ZDB-GENE-091005-1
si:dkey-7j14.5	ZDB-GENE-030131-8110
cnep1r1	ZDB-GENE-050417-425
acap1	ZDB-GENE-070112-1242
BX928743.5	
CABZ01077956.1	
CR388369.1	
zgc:193790	ZDB-GENE-080723-55
zgc:165653	ZDB-GENE-070620-24
BX000700.27	
ighv1-2	ZDB-GENE-030924-2
sall1b	ZDB-GENE-020228-3
mast2	ZDB-GENE-050309-150
xpr1b	ZDB-GENE-060503-266
avpr2aa	
AL807749.1	
exd1	ZDB-GENE-060825-267
pitpnm3	ZDB-GENE-030131-9216
surf6	ZDB-GENE-040426-1333
ccl34b.9	ZDB-GENE-091204-99
slc37a2	ZDB-GENE-040426-1949
znf1180	
ccr2	ZDB-GENE-151216-1
aff2	ZDB-GENE-110411-190
si:dkey-187j14.8	
gcgb	ZDB-GENE-040712-2
CU469544.1	
angpt4	ZDB-GENE-110104-1
CT573414.1	
ccdc167	ZDB-GENE-041210-79
syce2	ZDB-GENE-050512-1
si:ch211-12e13.12	ZDB-GENE-070424-121
CT025875.1	
mab21l2	ZDB-GENE-011101-3
skor2	ZDB-GENE-060825-57
BX957346.3	
bnip3	ZDB-GENE-030131-8060
nr6a1a	ZDB-GENE-991207-19
CABZ01050249.1	
zgc:174696	ZDB-GENE-030131-2836
AL929543.1	
msx3	ZDB-GENE-980526-306
CR339041.3	
CU207241.1	
pacs1a	ZDB-GENE-050208-244
scara3	ZDB-GENE-041014-317
tacr3l	ZDB-GENE-061207-19
si:dkeyp-46h3.5	
dync2li1	ZDB-GENE-040426-1230
pam	ZDB-GENE-090313-384
pkdc	ZDB-GENE-041111-115
BX927260.1	
CR382283.1	
nkiras1	ZDB-GENE-040718-215
seta	ZDB-GENE-030131-2221
si:dkeyp-20e4.8	ZDB-GENE-050208-356
zbtb8os	ZDB-GENE-050417-176
ssna1	ZDB-GENE-081104-255
eprs1	ZDB-GENE-030131-638
cars2	ZDB-GENE-030131-5564
BX640547.4	
stard3nl	ZDB-GENE-040718-4
gmpr2	ZDB-GENE-030131-1238
hddc3	ZDB-GENE-050417-377
CU694197.1	
dnmt1	ZDB-GENE-990714-15
adh8b	ZDB-GENE-030529-2
si:dkey-262j3.7	
trpm5	ZDB-GENE-060503-736
CLEC3A	
CR381647.4	
BX547934.2	
ufsp2	ZDB-GENE-030131-8726
si:ch1073-475a24.1	
tsnaxip1	ZDB-GENE-070424-39
si:ch73-171o20.1	ZDB-GENE-140106-80
plecb	ZDB-GENE-100917-2
BX005153.3	
rlbp1a	ZDB-GENE-040426-1662
timmdc1	ZDB-GENE-050417-369
iqub	ZDB-GENE-110421-1
si:ch211-175f12.2	
ccdc136b	ZDB-GENE-081104-244
znf507	ZDB-GENE-040426-1233
si:ch73-106k19.5	ZDB-GENE-030131-1230
BX950184.1	
tex30	ZDB-GENE-041210-219
si:ch73-56d11.5	ZDB-GENE-161017-12
gtf3c3	ZDB-GENE-040914-80
si:ch211-274k16.2	ZDB-GENE-110411-199
CR626877.1	
BX005396.2	
CR388191.1	
stim2a	ZDB-GENE-130530-765
slc43a1b	ZDB-GENE-070209-173
dus2	ZDB-GENE-100922-233
SHISAL2A	
zmp:0000001139	ZDB-GENE-140106-99
fibpa	ZDB-GENE-040426-1363
vars2	ZDB-GENE-060503-575
ggcx	ZDB-GENE-030826-27
pkd2	ZDB-GENE-040827-4
atxn2l	ZDB-GENE-030131-3246
xkr8.2	ZDB-GENE-110106-2
arhgap32b	ZDB-GENE-091204-147
CT027589.1	
CR854846.2	
zp2l1	ZDB-GENE-060818-3
FP074902.3	
dzank1	ZDB-GENE-051113-296
CABZ01053213.1	
cryz	ZDB-GENE-050306-24
btg1	ZDB-GENE-010726-1
wasf2	ZDB-GENE-040426-865
CT573394.1	
mitfb	ZDB-GENE-010919-1
pcdh15a	ZDB-GENE-030616-3
trim46a	ZDB-GENE-110825-1
si:ch211-218m3.18	
abcb6a	ZDB-GENE-050517-9
rab3da	ZDB-GENE-080722-14
unc5da	ZDB-GENE-080908-2
BX469912.11	
ppp2cb	ZDB-GENE-040426-2487
BX322538.1	
FP101861.1	
CT027677.1	
zgc:77056	ZDB-GENE-030131-5248
khk	ZDB-GENE-040718-381
BX649499.1	
coro2a	
zgc:113274	ZDB-GENE-050508-2
lmo4b	ZDB-GENE-030131-3570
AL929237.3	
si:zfos-1056e6.1	ZDB-GENE-141216-389
mntb	ZDB-GENE-070820-8
BX897688.1	
usp28	ZDB-GENE-041008-142
atg16l2	ZDB-GENE-060503-197
zc3h6	ZDB-GENE-120727-18
si:ch73-160h15.3	
BX323882.1	
ahrra	ZDB-GENE-051018-1
BX323006.4	
si:ch211-218g23.6	
ube2d4	ZDB-GENE-070424-86
CR556714.1	
gphna	ZDB-GENE-110127-3
szrd1	ZDB-GENE-050522-55
akr1b1.2	ZDB-GENE-041210-132
si:dkey-95h12.1	ZDB-GENE-060503-85
si:dkey-82i20.2	ZDB-GENE-110914-74
znf1009	
scn1lab	ZDB-GENE-060906-1
bnc2	ZDB-GENE-030131-5784
ice2	ZDB-GENE-060306-1
CABZ01021592.1	
tdrkh	ZDB-GENE-050327-81
si:ch211-209f23.3	ZDB-GENE-100921-45
BX901882.1	
apbb2b	ZDB-GENE-090313-73
si:ch211-160o17.2	ZDB-GENE-141219-3
zgc:92749	ZDB-GENE-040718-309
foxe1	ZDB-GENE-061116-1
AL807389.2	
plrdgb	ZDB-GENE-000406-3
CR450785.11	
pdzrn3b	ZDB-GENE-071022-4
tesmin	ZDB-GENE-131121-605
CU467655.1	
cat	ZDB-GENE-000210-20
mpeg1.1	ZDB-GENE-030131-7347
gsk3ab	ZDB-GENE-990714-3
glra4a	ZDB-GENE-010410-3
pimr97	
si:dkey-11d18.4	
sulf2a	ZDB-GENE-040426-759
PHF21B	
SSBP4	
vax2	ZDB-GENE-030904-8
si:dkey-78k11.4	
nrsn1l	ZDB-GENE-060503-68
vgf	ZDB-GENE-121009-2
tcf23	ZDB-GENE-090806-5
BX571786.1	
BX950220.1	
znf989	ZDB-GENE-050522-337
cyp4v8	
dclk1b	ZDB-GENE-080516-7
prrx1b	ZDB-GENE-030131-9033
dre-mir-199-3	
BX324177.24	
XRCC2	
LO018612.1	
pcdh1g26	ZDB-GENE-050609-21
rxrga	ZDB-GENE-980526-36
TXN	
iffo2a	ZDB-GENE-090313-342
si:ch211-149l1.2	
CABZ01041494.1	
pimr164	
zgc:152830	ZDB-GENE-090312-55
npr3	ZDB-GENE-060531-91
AL732610.1	
pi4k2a	ZDB-GENE-040426-2675
pop4	ZDB-GENE-050522-505
prr14	ZDB-GENE-030131-3785
pcdh1g2	ZDB-GENE-050608-2
ptges3b	ZDB-GENE-040625-144
FO904980.1	
si:dkey-188i13.8	
mhc1zfa	ZDB-GENE-130206-9
ak4	ZDB-GENE-040426-2505
AL833789.1	
glyctk	ZDB-GENE-061013-308
BX255908.1	
TCIM	
si:ch73-236c18.7	ZDB-GENE-121214-3
pimr154	ZDB-GENE-081028-12
acss2	ZDB-GENE-040718-388
prnprs3	ZDB-GENE-041221-3
sycn.1	
slc9a3r1a	
si:dkey-193p11.2	ZDB-GENE-030131-8407
CR628323.2	
galnt9	ZDB-GENE-060526-21
wnt2ba	ZDB-GENE-030717-2
BX511159.1	
CR847844.1	
maats1	
ppfibp1a	ZDB-GENE-041210-298
dre-mir-124-5	
BX571790.1	
zdhhc12a	ZDB-GENE-081104-40
dre-mir-1306	
si:dkey-1h4.4	ZDB-GENE-160728-41
BX293991.2	
eif1ad	ZDB-GENE-040426-1199
mab21l3	ZDB-GENE-070912-242
si:dkey-93m18.4	ZDB-GENE-091204-318
si:dkeyp-23e4.3	ZDB-GENE-091118-19
zmiz2	ZDB-GENE-090313-285
shbg	ZDB-GENE-030131-1324
pfkpb	ZDB-GENE-070912-634
si:dkey-121n8.7	ZDB-GENE-070912-366
ptbp1a	ZDB-GENE-050522-492
pawr	ZDB-GENE-041010-108
igdcc3	ZDB-GENE-080303-24
CR405687.1	
ehd2b	ZDB-GENE-030131-9347
fbrs	ZDB-GENE-111207-1
tcp1	ZDB-GENE-990714-24
AL953856.6	
CR792441.6	
rad9a	ZDB-GENE-040426-935
SIPA1	
capza1a	ZDB-GENE-030131-5237
mapre1a	ZDB-GENE-030131-6067
golga5	ZDB-GENE-040426-2749
gpr65	ZDB-GENE-120709-81
tbxtb	ZDB-GENE-081028-48
BX914214.12	
cdr2a	ZDB-GENE-101203-5
CABZ01086139.1	
si:ch211-1f22.6	
si:ch1073-394i4.1	
BX511223.1	
mrpl38	ZDB-GENE-040426-2373
radil	ZDB-GENE-071206-1
nfkb1	ZDB-GENE-121204-3
mcf2b	
BX928740.1	
si:dkey-262g12.3	ZDB-GENE-060503-255
CR381657.7	
zgc:153018	ZDB-GENE-060929-752
hgfb	ZDB-GENE-041014-3
pex11g	ZDB-GENE-050913-79
hadhb	ZDB-GENE-030131-8550
znf1010	ZDB-GENE-131120-161
nrg2b	ZDB-GENE-090205-2
swt1	ZDB-GENE-041015-373
nsrp1	ZDB-GENE-030131-2646
serpine3	ZDB-GENE-050309-223
si:dkey-191g9.5	ZDB-GENE-090313-217
star	ZDB-GENE-001120-3
zgc:158862	ZDB-GENE-070209-146
pax10	ZDB-GENE-081022-10
BX914214.15	
nup160	ZDB-GENE-040426-1603
BX005129.2	
si:ch211-113d22.2	ZDB-GENE-141222-39
si:ch73-34h11.1	
fbxo22	ZDB-GENE-040724-68
BX649356.2	
tns1b	ZDB-GENE-030131-6933
hes2.1	ZDB-GENE-081104-104
prodhb	ZDB-GENE-101116-1
rap2c	ZDB-GENE-041024-1
tie1	ZDB-GENE-990415-55
BX465195.7	
mier1b	ZDB-GENE-070705-170
sulf1	ZDB-GENE-030131-9242
cwc15	ZDB-GENE-040625-10
sptlc2a	ZDB-GENE-050522-23
tmem154	ZDB-GENE-030131-2401
nutf2l	ZDB-GENE-020416-1
CT025776.1	
cdc14ab	ZDB-GENE-070705-309
tradv21.0	
cracr2ab	ZDB-GENE-041210-94
CABZ01059626.1	
BX465853.1	
atf2	ZDB-GENE-030911-8
ppifb	ZDB-GENE-051030-126
ngly1	ZDB-GENE-050522-535
zgc:114046	ZDB-GENE-050320-24
lypla2	ZDB-GENE-040426-1715
tm4sf18	ZDB-GENE-050208-690
hspe1	ZDB-GENE-000906-2
tlcd3bb	ZDB-GENE-110603-2
CR318628.1	
gig2o	ZDB-GENE-130517-8
BX004823.1	
npas2	ZDB-GENE-030408-3
BX537156.1	
CT573489.1	
prph	ZDB-GENE-990415-207
CU861648.1	
stac3	ZDB-GENE-040801-248
ppp2r5ca	ZDB-GENE-120406-9
fstl3	ZDB-GENE-050913-111
si:dkey-182i3.9	ZDB-GENE-121214-310
CT573465.1	
CU633736.1	
s1pr5a	ZDB-GENE-041114-188
si:ch211-229b6.1	
smpd2b	ZDB-GENE-130530-640
taar18h	
lnx1	ZDB-GENE-030131-9439
dlx1a	ZDB-GENE-990415-48
otud3	ZDB-GENE-040426-2509
CR925728.3	
BX530058.1	
gabpb1	ZDB-GENE-061027-46
rhpn1	
scp2b	ZDB-GENE-041010-196
znf569l	ZDB-GENE-110914-7
rb1cc1	ZDB-GENE-130206-1
chst14	ZDB-GENE-040401-3
BX005278.1	
ano9a	ZDB-GENE-071004-46
prkag3a	
klf7b	ZDB-GENE-041014-171
BX005073.4	
opn1lw2	ZDB-GENE-040718-141
adtrp1	ZDB-GENE-050417-220
crp6	ZDB-GENE-060503-881
cd36	ZDB-GENE-040718-55
BX324177.13	
gna15.3	ZDB-GENE-050208-700
cpeb3	ZDB-GENE-090312-68
stub1	ZDB-GENE-030131-2963
igl3v3	
nt5c3a	ZDB-GENE-030131-439
fthl29	ZDB-GENE-080722-16
CU693368.2	
ap3m2	ZDB-GENE-021022-2
usp33	ZDB-GENE-040426-2323
phka2	ZDB-GENE-130422-1
rhoj	ZDB-GENE-040724-272
znf217	ZDB-GENE-030131-2542
tmem94	ZDB-GENE-121130-1
BX545917.2	
rpa3	ZDB-GENE-040426-977
c1galt1a	ZDB-GENE-060503-810
sardh	ZDB-GENE-040426-996
si:dkey-85k7.12	ZDB-GENE-130530-855
CR318599.1	
BX548173.2	
pik3r6a	ZDB-GENE-170330-1
LOXL4	
pde10a	ZDB-GENE-040426-1115
si:dkey-78l4.4	
pid1	ZDB-GENE-050320-72
prmt8b	ZDB-GENE-030131-7791
ankrd39	ZDB-GENE-081104-153
CR855379.2	
AL929334.1	
CR388168.2	
cdkl1	ZDB-GENE-040808-34
lyrm5b	ZDB-GENE-070424-20
BX511211.1	
nudt14	ZDB-GENE-041014-254
col8a2	ZDB-GENE-060503-488
si:dkey-11p23.7	ZDB-GENE-100922-120
fam43a	ZDB-GENE-030131-6098
CT583720.1	
slc3a2b	ZDB-GENE-040122-2
nptx2a	ZDB-GENE-060707-1
MGAT5B	
BX666065.2	
GARNL3	
eny2	ZDB-GENE-040718-124
CU469514.1	
fibcd1	
crygm2d4	ZDB-GENE-060918-3
si:dkey-21e2.10	ZDB-GENE-050208-778
aimp1b	ZDB-GENE-041212-13
CR376741.1	
brf1b	ZDB-GENE-030131-6248
si:ch211-238p8.31	ZDB-GENE-091113-50
CU179758.1	
BX088524.3	
inavab	ZDB-GENE-061103-190
inpp5e	ZDB-GENE-050809-23
rplp1	ZDB-GENE-030131-8663
slc38a8a	ZDB-GENE-121005-5
si:ch1073-67j19.1	
sc5d	ZDB-GENE-040912-56
BX664625.1	
trim25	ZDB-GENE-040426-797
tp63	ZDB-GENE-030819-1
rspo1	ZDB-GENE-040718-44
BX571960.2	
frzb	ZDB-GENE-990715-1
BX571825.8	
pimr61	
phb2b	ZDB-GENE-040718-430
nbr1b	ZDB-GENE-170215-1
FO904898.4	
si:rp71-23d18.4	ZDB-GENE-050208-761
CU467654.1	
CABZ01074708.1	
paip2b	ZDB-GENE-040426-1736
bicral	ZDB-GENE-100716-3
CU062417.1	
BX950179.1	
si:ch211-189a21.1	
CDK18	
mfap2	ZDB-GENE-030131-6710
si:ch211-67e16.3	ZDB-GENE-070912-310
CABZ01073834.1	
myl10	ZDB-GENE-050417-421
spoplb	ZDB-GENE-061103-277
CABZ01021599.1	
CU571161.1	
hoxc11b	ZDB-GENE-000822-3
tmed7	ZDB-GENE-040426-2570
cavin4b	ZDB-GENE-041212-87
kcnk2a	ZDB-GENE-061226-2
pax7b	ZDB-GENE-080917-54
si:dkey-33c14.6	ZDB-GENE-131120-188
si:dkeyp-115e12.7	
CR774179.2	
rexo1	ZDB-GENE-030131-1650
irs4a	ZDB-GENE-120215-92
eya1	ZDB-GENE-990712-18
sycp1	ZDB-GENE-040910-6
zgc:63972	ZDB-GENE-040426-1320
tcf3b	ZDB-GENE-051113-64
park7	ZDB-GENE-041010-5
CR356227.1	
CR450785.13	
BX571681.5	
btbd2b	
wdr41	ZDB-GENE-050706-152
gbp1	ZDB-GENE-040718-32
ube2e2	ZDB-GENE-040801-237
polr1d	ZDB-GENE-040930-4
dbpb	ZDB-GENE-100922-6
eif4a1b	ZDB-GENE-040120-6
uqcrb	ZDB-GENE-050522-542
bcas2	ZDB-GENE-030408-5
nectin3b	ZDB-GENE-050327-14
or104-2	
f2rl1.2	ZDB-GENE-070615-24
dlx6a	ZDB-GENE-980526-448
olfcg9	ZDB-GENE-081029-6
p2rx7	ZDB-GENE-030319-6
arap1a	ZDB-GENE-030131-6226
zgc:113232	ZDB-GENE-050327-86
zgc:153184	ZDB-GENE-060825-136
cebp1	ZDB-GENE-010611-1
nthl1	ZDB-GENE-120511-4
itln1	ZDB-GENE-060929-564
CU570984.1	
puf60a	ZDB-GENE-030131-2891
cox7c	ZDB-GENE-030131-8062
rhoac	ZDB-GENE-040426-2665
CR550308.1	
CABZ01053739.1	
uspl1	ZDB-GENE-040930-7
FQ311924.1	
ypel2b	ZDB-GENE-110419-2
si:dkeyp-77h1.4	ZDB-GENE-050208-18
sidt2	ZDB-GENE-030131-7356
dyrk2	ZDB-GENE-030131-2804
cnsta	ZDB-GENE-120917-3
cdr2l	ZDB-GENE-030131-8171
si:dkeyp-106c3.1	ZDB-GENE-050411-73
dennd5a	ZDB-GENE-071211-1
CABZ01044765.1	
BX323031.1	
tradv3.0.1	
carhsp1	ZDB-GENE-040426-1479
ntn2	ZDB-GENE-050310-2
dpm2	ZDB-GENE-030131-9093
MAJIN	
BX004774.1	
znf1114	
si:dkey-174k12.3	
CU464184.2	
dad1	ZDB-GENE-060503-233
CU928131.1	
st6gal1	ZDB-GENE-060322-3
LO018011.1	
tpra	ZDB-GENE-081104-2
si:rp71-1g18.13	
psmc3	ZDB-GENE-030131-666
BX276115.1	
ap5m1	ZDB-GENE-050522-231
atp2c1	ZDB-GENE-060503-615
mxi1	ZDB-GENE-990415-151
si:ch211-285c6.6	ZDB-GENE-160113-80
si:dkey-175d9.1	
nuak2	ZDB-GENE-050208-563
FP236322.1	
si:ch1073-291c23.2	ZDB-GENE-081107-2
plk3	ZDB-GENE-030131-6134
polrmt	ZDB-GENE-030131-1528
nav2a	ZDB-GENE-120502-3
alkbh2	ZDB-GENE-060526-327
gpt2	ZDB-GENE-030729-8
BX936284.1	
si:ch211-260e23.9	ZDB-GENE-141222-48
si:zfos-1069f5.1	ZDB-GENE-141215-70
klf6b	ZDB-GENE-070912-633
si:ch211-215e19.3	ZDB-GENE-060503-685
BX323088.1	
abi3bpa	
CR382370.2	
si:ch211-156p11.1	
chrna4a	
BX005421.3	
igfbp2a	ZDB-GENE-000125-12
mfsd11	ZDB-GENE-050913-140
myot	ZDB-GENE-110411-129
BX571772.1	
pih1d2	ZDB-GENE-041212-54
rhbdl1	ZDB-GENE-120529-2
mttp	ZDB-GENE-040419-2
tlr3	ZDB-GENE-040219-7
dhrs12	ZDB-GENE-060929-1134
dek	ZDB-GENE-060512-191
amotl2b	ZDB-GENE-061103-307
prf1.6	ZDB-GENE-070410-126
BOLA2	
gabbr1b	ZDB-GENE-060503-5
stab1	ZDB-GENE-050208-554
BX664625.4	
BX469912.3	
unkl	ZDB-GENE-131120-196
CR382330.2	
taar13e	ZDB-GENE-041014-70
si:dkey-171c9.3	ZDB-GENE-141216-372
msh2	ZDB-GENE-040426-2932
mvb12bb	ZDB-GENE-080414-2
CU394254.1	
sec61a1l	
vkorc1l1	ZDB-GENE-050522-210
vip	ZDB-GENE-080204-3
rbp1.1	ZDB-GENE-050421-2
igsf9ba	ZDB-GENE-060503-729
FQ323156.1	
BX323807.2	
aspdh	ZDB-GENE-040912-102
CABZ01076996.1	
rpe65a	ZDB-GENE-040426-1717
adck5	ZDB-GENE-081104-149
BX248515.1	
si:ch73-138e16.6	
cldna	ZDB-GENE-010328-1
chp1	ZDB-GENE-030131-4086
ELAPOR2	
heatr5a	ZDB-GENE-030616-152
dock8	ZDB-GENE-060503-743
mia3	ZDB-GENE-041014-270
mbpa	ZDB-GENE-030128-2
hbs1l	ZDB-GENE-030131-2987
si:ch211-191d15.2	ZDB-GENE-040724-113
tnnt2e	ZDB-GENE-041210-27
zgc:171220	ZDB-GENE-071004-11
rpgrip1	ZDB-GENE-091204-394
BX640537.1	
CABZ01059627.2	
rgmb	ZDB-GENE-040527-2
RIMS2	
esd	ZDB-GENE-050417-328
ripply3	ZDB-GENE-060113-3
csf3a	ZDB-GENE-091229-1
cdc42se1	ZDB-GENE-030131-9260
APBA3	
BX511021.2	
prss12	ZDB-GENE-090313-45
pimr85	
pfkpa	ZDB-GENE-091112-22
napaa	ZDB-GENE-060531-160
CR352223.2	
tmem141	ZDB-GENE-060929-272
BX469926.1	
CR931782.2	
lacc1	ZDB-GENE-081104-155
si:ch211-1f22.16	
cdh13	ZDB-GENE-060503-286
BX914214.13	
mindy3	ZDB-GENE-061110-13
CR388079.2	
BX510920.2	
bmi1a	ZDB-GENE-030131-224
snx9a	ZDB-GENE-030616-66
nkd3l	ZDB-GENE-060503-555
pclob	ZDB-GENE-030131-8100
atxn1a	ZDB-GENE-060503-759
zgc:158564	
si:dkey-25e12.3	ZDB-GENE-041001-132
TC2N	
CABZ01034851.1	
CR931802.1	
si:dkey-211i20.4	
efnb2b	ZDB-GENE-010618-1
zgc:174320	ZDB-GENE-080206-2
lrrc4.1	ZDB-GENE-041210-129
sox19b	ZDB-GENE-010111-1
AL929434.2	
si:dkey-65b12.10	
her8.2	ZDB-GENE-060815-4
zmp:0000000936	ZDB-GENE-130530-939
pla2g7	ZDB-GENE-040426-2248
rx1	ZDB-GENE-990415-236
zgc:194209	ZDB-GENE-081022-75
BX537123.2	
C24H8orf44	
rtn4r	ZDB-GENE-040310-1
pcgf5a	ZDB-GENE-080723-33
si:dkey-269o24.1	
polg	ZDB-GENE-060303-1
BX470150.1	
pole2	ZDB-GENE-020419-16
golph3l	ZDB-GENE-051113-168
ppil1	ZDB-GENE-051009-1
BX005421.2	
CU570689.1	
zgc:55558	ZDB-GENE-040426-740
FP243388.2	
pimr182	
elmo3	ZDB-GENE-050309-39
BX510991.1	
alg10	ZDB-GENE-110310-8
slc30a1a	ZDB-GENE-040426-1840
naa15b	ZDB-GENE-030131-6031
tmem145	ZDB-GENE-110411-84
si:ch211-197g15.7	
amot	ZDB-GENE-030131-7487
pde4d	ZDB-GENE-081105-16
ica1	ZDB-GENE-040718-490
gnptg	ZDB-GENE-040625-18
si:dkey-52p2.5	ZDB-GENE-161101-1
si:ch73-248e21.5	ZDB-GENE-120215-255
si:dkey-62k3.6	ZDB-GENE-160728-111
nup93	ZDB-GENE-990415-46
si:ch211-131k2.2	ZDB-GENE-121214-81
si:ch211-229g14.3	
si:ch211-256e16.4	
mst1rb	ZDB-GENE-071218-3
hoxc3a	ZDB-GENE-980526-532
esrp2	ZDB-GENE-030131-9824
znf997	
ccnd2b	ZDB-GENE-050420-354
alg13	ZDB-GENE-060307-1
AL935280.1	
tnr	ZDB-GENE-030804-1
CR786570.1	
skor1a	ZDB-GENE-080722-5
gpib	ZDB-GENE-020513-3
AL845550.1	
selenow1	ZDB-GENE-030410-5
slc6a5	ZDB-GENE-050105-2
srpx	ZDB-GENE-050327-43
or115-1	
FO834855.1	
FP016064.1	
mob4	ZDB-GENE-040801-174
mier2	ZDB-GENE-050208-795
crx	ZDB-GENE-010403-1
metap1	ZDB-GENE-050626-124
npy8ar	ZDB-GENE-990415-175
or135-1	
si:dkey-191j3.1	
usf1l	ZDB-GENE-040426-2269
vps33b	ZDB-GENE-050327-73
nol11	ZDB-GENE-030131-419
adgre19	
BX571955.1	
CR558302.1	
nos2a	ZDB-GENE-040305-1
BX294119.1	
si:dkey-83f18.8	ZDB-GENE-070705-507
sfxn2	ZDB-GENE-040426-2831
LO018550.1	
TMEM114	
slc10a7	ZDB-GENE-040801-5
CR847568.1	
ephb6	ZDB-GENE-100922-51
hipk3a	ZDB-GENE-061207-54
si:dkey-261m9.6	ZDB-GENE-131127-103
si:ch211-220i18.4	ZDB-GENE-090312-151
crybb1l2	ZDB-GENE-070822-18
CR478288.2	
trappc10	ZDB-GENE-131115-1
brinp3a.2	ZDB-GENE-131119-53
taar15	ZDB-GENE-041014-50
CU570897.1	
si:ch211-253b8.5	ZDB-GENE-141212-327
si:dkey-65b13.8	ZDB-GENE-041014-336
CU693446.1	
s100z	ZDB-GENE-050522-69
si:dkey-253d23.11	
fhod3b	ZDB-GENE-081028-61
neu3.3	ZDB-GENE-061103-511
zgc:174310	ZDB-GENE-081022-6
lcmt2	ZDB-GENE-110714-2
ccnk	ZDB-GENE-030131-5126
si:ch211-213d14.1	
smarcad1b	ZDB-GENE-091113-61
CR394532.1	
sh3gl3b	ZDB-GENE-040121-4
polg2	ZDB-GENE-060810-116
pappab	ZDB-GENE-060526-71
FO904934.1	
AL928707.2	
si:ch73-42k18.1	ZDB-GENE-141215-12
fam171a1	ZDB-GENE-061208-1
lgals9l1	ZDB-GENE-030131-9543
tbc1d1	ZDB-GENE-060710-1
eif1b	ZDB-GENE-040426-1109
pbx2	ZDB-GENE-000405-5
pald1b	ZDB-GENE-070424-88
FP074867.1	
BX255881.1	
PAQR9	
si:dkey-29p23.1	
manf	ZDB-GENE-060929-640
zc3h15	ZDB-GENE-030131-6239
LO018300.1	
si:dkey-27j5.11	
BX649502.3	
pyroxd1	ZDB-GENE-040426-1732
nucks1b	ZDB-GENE-030131-4544
akirin2	ZDB-GENE-040426-2944
BX284679.1	
CABZ01113818.1	
admp	ZDB-GENE-011214-1
AL929114.1	
si:dkey-234i14.14	
gtpbp1l	ZDB-GENE-041007-2
trim35-19	ZDB-GENE-070424-178
